season,team1,nrr
2008,CSK,-0.30316813537924897
2008,DD,0.10984807298988539
2008,KKR,-0.13064542695234455
2008,KXIP,0.642450904917659
2008,MI,-1.9182415475390278
2008,RCB,0.41483064220733085
2008,RR,0.17661537860402252
2008,SRH,-0.4729938744061116
2009,CSK,0.5635838123485418
2009,DD,-0.8344880196149455
2009,KKR,0.8832073389376831
2009,KXIP,0.5820980783024207
2009,MI,0.2602235204470409
2009,RCB,0.32646259968448277
2009,SRH,0.06865518451901434
2010,CSK,0.14611709202877482
2010,DD,1.296603065827128
2010,KKR,0.1128195960774929
2010,KXIP,0.08799396288527893
2010,MI,0.3942316863273881
2010,RCB,-0.19810586996670163
2010,RR,-0.5897906339559478
2010,SRH,0.4336829413464181
2011,CSK,0.9750468623531863
2011,DD,0.027363473686115216
2011,KKR,-0.31858511242669707
2011,KTK,-0.8153102077624973
2011,KXIP,1.5759709639920523
2011,MI,0.011889202301147983
2011,PW,-0.5952332758882228
2011,RCB,0.14369226577764127
2011,RR,-0.5486167256838446
2011,SRH,0.3005776247799851
2012,CSK,-0.03917509532594485
2012,DD,0.28115199196452395
2012,KKR,0.26663513311291476
2012,KXIP,-0.3580086055654613
2012,MI,0.17260084165223444
2012,PW,0.23194594074182762
2012,RCB,0.6285883523299833
2012,RR,0.34133473706730155
2012,SRH,0.2839044692586079
2013,CSK,0.7545681671655041
2013,DD,0.08073767762814033
2013,KKR,-0.045544949954255065
2013,KXIP,0.14159505550054252
2013,MI,1.2512471161948726
2013,PW,0.3892473437475643
2013,RCB,0.6272587987326468
2013,RR,-0.08281739064417032
2013,SRH,0.22395284356471967
2014,CSK,0.5013527601727366
2014,DD,-0.7848308232440404
2014,KKR,-0.3697304896013931
2014,KXIP,0.5181705815311448
2014,MI,-0.021918568770818707
2014,RCB,-0.24586115139144799
2014,RR,0.7611214771511748
2014,SRH,-0.546880570613998
2015,CSK,0.8684653576146981
2015,DD,-0.9897357068476299
2015,KKR,0.1562019221903929
2015,KXIP,0.43880083923980856
2015,MI,0.6297300048084189
2015,RCB,1.8660105844589605
2015,RR,-0.18011915575701185
2015,SRH,-0.4524090462362385
2016,DD,-0.41901109619930466
2016,GL,-0.8416625708337038
2016,KKR,-1.2306279611840925
2016,KXIP,-0.21813540701494474
2016,MI,0.1672031809461103
2016,RCB,1.6577811071453552
2016,RPS,-0.06583277236144257
2016,SRH,-0.6354202359531103
2017,DD,0.7968975728552624
2017,GL,-0.3520802008239295
2017,KKR,-0.3149826838727868
2017,KXIP,-1.3194727418363956
2017,MI,-0.12581202417010875
2017,RCB,-0.4741989765586248
2017,RPS,0.36915801776731555
2017,SRH,0.014018839468820654
2018,CSK,0.2890818786069569
2018,DD,0.016707458596811345
2018,KKR,0.23013063513896861
2018,KXIP,-0.6052745409660947
2018,MI,0.49789742760744066
2018,RCB,0.2233717775224604
2018,RR,-0.31226419431868013
2018,SRH,-0.025617027598249957
2019,CSK,0.15993986719079745
2019,DC,0.42834261624590403
2019,KKR,-0.46383253310061245
2019,KXIP,0.08506261842944163
2019,MI,0.5606198281644312
2019,RCB,0.060431399220031205
2019,RR,-1.262098835034251
2019,SRH,0.7733756794868658
2020,CSK,-1.035473868138915
2020,DC,0.4978325875765783
2020,KKR,0.3100895751513838
2020,KXIP,0.1325660782459964
2020,MI,1.0017451422170687
2020,RCB,0.13629120661048014
2020,RR,-0.21959354299517764
2020,SRH,0.9357196606557756
2021,CSK,0.2438081818527958
2021,DC,-0.021869165767301295
2021,KKR,0.18709368061499174
2021,MI,-0.18232226679293984
2021,PBKS,-0.39717509089191694
2021,RCB,-0.11736450006389765
2021,RR,-1.2110901172400634
2021,SRH,-0.5436348130196643
2022,CSK,0.1259294828655479
2022,DC,0.5459726733868611
2022,GT,0.01956725929072472
2022,KKR,0.46913117443747954
2022,LSG,0.8240433612749463
2022,MI,-0.5855031742121062
2022,PBKS,-0.37317094451628563
2022,RCB,-0.14412850887727569
2022,RR,0.4128386537990089
2022,SRH,-0.780259880470406
2023,CSK,1.0608617894895207
2023,DC,0.06368677167200651
2023,GT,0.9511361781655072
2023,KKR,-0.45356195830855
2023,LSG,0.8002495912380826
2023,MI,0.2355790489238688
2023,PBKS,-0.2064185779506812
2023,RCB,0.23454464922344975
2023,RR,0.7326457473154449
2023,SRH,-0.4347475800725122
2024,CSK,0.8316599990258853
2024,DC,0.2884854529538418
2024,GT,-1.7321293180996378
2024,KKR,0.5108630756846431
2024,LSG,-1.0353550719836593
2024,MI,-0.3088986485744833
2024,PBKS,-0.3952505066938743
2024,RCB,-0.0975746591972345
2024,RR,-0.009165510741668114
2024,SRH,-0.31587911459848306
