Team,Batting_First_Win_Pct,Chasing_Win_Pct,Batting_First_Matches,Batting_First_Wins,Chasing_Matches,Chasing_Wins
RCB,51.30434782608696,44.285714285714285,115,59,140,62
DD,41.9753086419753,41.25,81,34,80,33
KXIP,50.0,40.38461538461539,86,43,104,42
MI,53.78787878787878,55.03875968992248,132,71,129,71
KKR,53.65853658536586,50.0,123,66,128,64
RR,53.63636363636364,45.94594594594595,110,59,111,51
SRH,48.837209302325576,41.40625,129,63,128,53
CSK,60.0,55.10204081632652,140,84,98,54
KTK,50.0,37.5,6,3,8,3
PW,31.03448275862069,17.647058823529413,29,9,17,3
GL,58.82352941176471,23.076923076923077,17,10,13,3
RPS,66.66666666666666,38.88888888888889,12,8,18,7
DC,48.0,51.21951219512195,50,24,41,21
PBKS,37.5,46.875,24,9,32,15
LSG,52.63157894736842,56.00000000000001,19,10,25,14
GT,63.63636363636363,60.86956521739131,22,14,23,14
