,RCB,DD,KXIP,MI,KKR,RR,SRH,CSK,KTK,PW,GL,RPS,DC,PBKS,LSG,GT
RCB,0,13,12,13,14,15,16,11,2,5,3,2,5,4,3,3
DD,6,0,9,11,8,7,11,6,1,3,3,2,0,0,0,0
KXIP,14,13,0,11,9,8,12,8,1,3,2,2,2,0,0,0
MI,19,11,14,0,23,15,18,20,0,5,1,2,8,3,1,2
KKR,20,13,18,11,0,14,25,10,0,4,1,3,5,3,2,1
RR,14,11,12,14,12,0,16,13,1,4,0,0,4,4,4,1
SRH,18,12,14,14,11,13,0,10,1,5,5,1,5,5,1,1
CSK,21,12,14,17,19,16,21,0,1,4,0,0,7,2,1,3
KTK,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0
PW,0,2,3,1,1,1,1,2,1,0,0,0,0,0,0,0
GL,2,1,2,2,3,0,0,0,0,0,0,3,0,0,0,0
RPS,2,2,2,4,1,0,3,0,0,0,1,0,0,0,0,0
DC,5,0,1,5,6,7,6,5,0,0,0,0,0,5,2,3
PBKS,3,0,0,3,3,3,2,5,0,0,0,0,2,0,1,2
LSG,2,0,0,5,3,1,3,3,0,0,0,0,3,3,0,1
GT,2,0,0,3,2,5,3,4,0,0,0,0,2,3,4,0
