season,bat,field
2008,44.827586206896555,55.172413793103445
2009,61.40350877192983,38.59649122807017
2010,65.0,35.0
2011,34.24657534246575,65.75342465753424
2012,50.0,50.0
2013,59.210526315789465,40.78947368421053
2014,31.666666666666664,68.33333333333333
2015,42.3728813559322,57.6271186440678
2016,18.333333333333332,81.66666666666667
2017,18.64406779661017,81.35593220338984
2018,16.666666666666664,83.33333333333334
2019,16.666666666666664,83.33333333333334
2020,45.0,55.00000000000001
2021,26.666666666666668,73.33333333333333
2022,20.27027027027027,79.72972972972973
2023,28.37837837837838,71.62162162162163
2024,26.76056338028169,73.23943661971832
