venue,bat,field
ACA-VDCA Stadium,46.666666666666664,53.333333333333336
Arun Jaitley Stadium,40.0,60.0
BRSABV Ekana Stadium,42.857142857142854,57.14285714285714
Barabati Stadium,28.57142857142857,71.42857142857143
Barsapara Stadium,33.33333333333333,66.66666666666666
Brabourne Stadium,33.33333333333333,66.66666666666666
Buffalo Park,100.0,0.0
De Beers Diamond Oval,66.66666666666666,33.33333333333333
Dr DY Patil Sports Academy,27.027027027027028,72.97297297297297
Dubai Intl. Cricket Stadium,41.30434782608695,58.69565217391305
Eden Gardens,32.25806451612903,67.74193548387096
Green Park,0.0,100.0
HPCA Stadium,7.6923076923076925,92.3076923076923
Holkar Cricket Stadium,11.11111111111111,88.88888888888889
JSCA Intl. Stadium Complex,42.857142857142854,57.14285714285714
Kingsmead,66.66666666666666,33.33333333333333
M Chinnaswamy Stadium,12.307692307692308,87.6923076923077
M. Chinnaswamy Stadium,3.4482758620689653,96.55172413793103
MA Chidambaram Stadium,56.470588235294116,43.529411764705884
"MCA Stadium, Pune",11.428571428571429,88.57142857142857
Maharaja Yadvindra Cricket Stadium,20.0,80.0
Narendra Modi Stadium,30.555555555555557,69.44444444444444
Nehru Stadium,40.0,60.0
New Wanderers Stadium,25.0,75.0
Newlands,57.14285714285714,42.857142857142854
OUTsurance Oval,50.0,50.0
PCA IS Bindra Stadium,27.86885245901639,72.1311475409836
Rajiv Gandhi Intl. Stadium,45.45454545454545,54.54545454545454
SVNS Intl. Stadium,50.0,50.0
Saurashtra Cricket Assn. Stadium,30.0,70.0
Sawai Mansingh Stadium,43.859649122807014,56.14035087719298
Sharjah Cricket Stadium,28.57142857142857,71.42857142857143
Sheikh Zayed Stadium,48.64864864864865,51.35135135135135
St George's Park,100.0,0.0
Subrata Roy Sahara Stadium,93.75,6.25
SuperSport Park,50.0,50.0
VCA Stadium,66.66666666666666,33.33333333333333
Wankhede Stadium,25.423728813559322,74.57627118644068
