venue,first_innings_avg,matches,second_innings_avg
ACA-VDCA Stadium,167.33,15,135.73
Arun Jaitley Stadium,169.32,90,155.04
BRSABV Ekana Stadium,165.43,14,152.15
Barabati Stadium,167.71,7,157.71
Brabourne Stadium,178.52,27,166.11
Dr DY Patil Sports Academy,159.65,37,148.0
Dubai Intl. Cricket Stadium,163.76,46,149.09
Eden Gardens,166.28,93,153.54
HPCA Stadium,183.77,13,155.62
Holkar Cricket Stadium,160.33,9,158.78
JSCA Intl. Stadium Complex,149.0,7,144.71
Kingsmead,152.0,15,138.2
M Chinnaswamy Stadium,168.06,65,145.52
M. Chinnaswamy Stadium,184.69,29,175.62
MA Chidambaram Stadium,163.89,85,149.89
"MCA Stadium, Pune",168.29,35,149.29
Maharaja Yadvindra Cricket Stadium,167.4,5,167.6
Narendra Modi Stadium,171.56,36,158.89
Nehru Stadium,146.8,5,125.8
New Wanderers Stadium,144.0,8,142.5
Newlands,139.43,7,112.57
PCA IS Bindra Stadium,168.28,61,157.36
Rajiv Gandhi Intl. Stadium,162.84,77,151.79
SVNS Intl. Stadium,146.33,6,143.83
Saurashtra Cricket Assn. Stadium,168.9,10,162.7
Sawai Mansingh Stadium,161.51,57,148.75
Sharjah Cricket Stadium,159.04,28,147.5
Sheikh Zayed Stadium,158.89,37,146.65
St George's Park,159.0,7,131.43
Subrata Roy Sahara Stadium,149.44,16,133.56
SuperSport Park,154.83,12,149.58
Wankhede Stadium,170.25,118,160.06
