Team,Seasons_Played,Total_Matches,Wins,Win_Rate
MI,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",261,142,54.406130268199234
SRH,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",257,116,45.13618677042802
RCB,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",255,121,47.45098039215686
KKR,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",251,130,51.79282868525896
CSK,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2018, 2019, 2020, 2021, 2022, 2023, 2024",238,138,57.98319327731093
RR,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2018, 2019, 2020, 2021, 2022, 2023, 2024",221,110,49.7737556561086
KXIP,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",190,85,44.73684210526316
DD,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",161,67,41.61490683229814
DC,"2019, 2020, 2021, 2022, 2023, 2024",91,45,49.45054945054945
PBKS,"2021, 2022, 2023, 2024",56,24,42.857142857142854
PW,"2011, 2012, 2013",46,12,26.08695652173913
GT,"2022, 2023, 2024",45,28,62.22222222222222
LSG,"2022, 2023, 2024",44,24,54.54545454545454
GL,"2016, 2017",30,13,43.333333333333336
RPS,"2016, 2017",30,15,50.0
KTK,2011,14,6,42.857142857142854
