,CSK,PBKS,LSG,RR,MI,DC,KKR,SRH,GT,RCB
1,0,0,0,0,0,0,0,0,2,0
2,0,2,0,0,0,0,0,0,2,0
3,0,2,2,0,0,0,0,0,2,0
4,0,2,2,2,0,0,0,0,2,0
5,0,2,2,2,0,0,0,0,2,2
6,2,2,2,2,0,0,0,0,2,2
7,2,2,2,2,0,0,0,0,4,2
8,2,4,2,2,0,0,0,0,4,2
9,2,4,2,2,0,0,2,0,4,2
10,2,4,4,2,0,0,2,0,4,2
11,4,4,4,2,0,0,2,0,4,2
12,4,4,4,4,0,0,2,0,4,2
13,4,4,4,4,0,0,4,0,4,2
14,4,4,4,4,0,0,4,2,4,2
15,4,4,6,4,0,0,4,2,4,2
16,4,4,6,4,2,0,4,2,4,2
17,4,4,6,6,2,0,4,2,4,2
18,4,4,6,6,2,0,4,2,6,2
19,4,4,6,6,2,0,4,4,6,2
20,4,6,6,6,2,0,4,4,6,2
21,4,6,6,6,2,0,4,4,6,4
22,4,6,6,8,2,0,4,4,6,4
23,4,6,6,8,4,0,4,4,6,4
24,6,6,6,8,4,0,4,4,6,4
25,6,6,6,8,6,0,4,4,6,4
26,6,6,8,8,6,0,4,4,6,4
27,6,6,8,8,6,0,4,4,6,6
28,6,6,8,8,6,2,4,4,6,6
29,8,6,8,8,6,2,4,4,6,6
30,8,8,8,8,6,2,4,4,6,6
31,8,8,8,8,6,2,4,4,8,6
32,10,8,8,8,6,2,4,4,8,6
33,10,8,8,8,6,2,4,4,8,8
34,10,8,8,8,6,4,4,4,8,8
35,10,8,8,8,6,4,4,4,10,8
36,10,8,8,8,6,4,6,4,10,8
37,10,8,8,10,6,4,6,4,10,8
38,10,8,10,10,6,4,6,4,10,8
39,10,8,10,10,6,4,6,6,10,8
40,10,8,10,10,6,4,6,6,12,8
41,10,8,10,10,8,4,6,6,12,8
42,10,10,10,10,8,4,6,6,12,8
43,10,10,10,10,8,4,6,6,12,10
44,10,10,10,10,8,6,6,6,12,10
45,10,10,10,10,10,6,6,6,12,10
46,10,10,10,10,10,6,6,6,12,10
47,10,10,10,10,10,6,8,6,12,10
48,10,10,10,10,10,6,8,6,14,10
49,12,10,10,10,10,6,8,6,14,10
50,12,10,10,10,10,8,8,6,14,10
51,12,10,10,10,10,8,8,8,14,10
52,12,10,10,10,10,8,8,8,16,10
53,12,10,10,10,10,8,10,8,16,10
54,12,10,10,10,12,8,10,8,16,10
55,14,10,10,10,12,8,10,8,16,10
56,14,10,10,12,12,8,10,8,16,10
57,14,10,10,12,14,8,10,8,16,10
58,14,12,10,12,14,8,10,8,16,10
59,14,12,12,12,14,8,10,8,16,10
60,14,12,12,12,14,8,12,8,16,10
61,14,12,12,12,14,8,12,8,16,12
62,14,12,12,12,14,8,12,8,18,12
63,14,12,14,12,14,8,12,8,18,12
64,14,12,14,12,14,10,12,8,18,12
65,14,12,14,12,14,10,12,8,18,14
66,14,12,14,14,14,10,12,8,18,14
67,16,12,14,14,14,10,12,8,18,14
68,16,12,16,14,14,10,12,8,18,14
69,16,12,16,14,16,10,12,8,18,14
70,16,12,16,14,16,10,12,8,20,14
71,18,12,16,14,16,10,12,8,20,14
72,18,12,16,14,18,10,12,8,20,14
73,18,12,16,14,18,10,12,8,22,14
74,20,12,16,14,18,10,12,8,22,14
